
18,Devops Engineer - Azure,Cyient Ltd,3,6,NA,NA,"IT Skills,Software Development,Cloud,Project Management,AWS,Azure,BPO,project management","0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0"
19,Senior Devops Engineer,Cognizant Technology Solutions India Ltd,7,11,NA,NA,"IT Skills,Cloud,DevOps,AWS,Configuration Management,Log Management,Networking,Continuous Integration","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
20,DevOps Engineer - II,Ncr Corporation India Pvt Ltd,3,6,NA,NA,"IT Skills,Software Development,Cloud,DevOps,AWS,Azure,Hospitality,Disaster recovery planning","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
21,DevOps Engineer,Visa Inc,4,9,NA,NA,"IT Skills,Software Development,DevOps,Jenkins,Computer science,Analytical skills,Automation,Software development life cycle","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0"
22,Senior Devops Engineer,Apttus Software Private Limited,5,8,12.0,22.0,"Docker,AWS,Kubernetes,Azure,Prometheus,ELK Stack,Grafana,Jenkins","0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0"
23,Murex DevOps / Cloud engineers,Luxoft,10,12,NA,NA,"IT Skills,Cloud,DevOps,Jenkins,Linux,Social media,Shell scripting,CMS","0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0"
24,DevOps Engineer,8K Miles Software Services Limited,1,6,NA,NA,"IT Skills,Python,Cloud,Jenkins,AWS,Jenkins,GIT,Terraform","1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1"
25,Devops Engineer,Cloudpoint Systems Pvt Ltd,5,10,0.5,3.0,"Jenkins,Devops,Kubernetes,IT Skills,Python,DevOps,Jenkins,Cd","1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
26,Senior DevOps Engineer - AWS/ELK Stack/Kubernetes,Angara Ecommerce Pvt. Ltd.,4,6,NA,NA,"IT Skills,Cloud,Jenkins,AWS,Jenkins,DevOps,Docker,Microservices Architecture","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0"
27,SW DevOps Engineer,Ncr Corporation India Pvt Ltd,3,7,NA,NA,"IT Skills,Java,Software Development,Testing,Cloud,DevOps,AWS,Azure","0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0"
