,,,,,,,,Python,Java,JavaScript,C,Ruby,Shell,C++,C#,.NET,HTML,NodeJS,AngularJS,SDK,GIT,SCM,Kubernetes,Serverless,IaaC,Microservices,Docker,Ensemble,Safe,Puppet,CICD,Lambda,SQS,SQL,NoSQL,DynamoDB,AWS,GCP,Azure,ELK,EKS,NIST,CIS,ISO 27001,GDPR,CIS v7,CEH,CISSP,CISA,CISM,CompTIA Security+
18,Professional Cyber Security Tools Consultant,Ingram Micro (I) Pvt Ltd,3,8,NA,NA,"IT Skills,Sharepoint,Administration,cyber security,Contract management,Information security,Information security management,Process development",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19,Cyber Security Data Analyst,Confidential,10,20,NA,NA,"IT Skills,Java,Python,PHP,Testing,Machine Learning,Cloud,Big Data",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Cyber Security,SLK Software Services Private Limited,0,1,2.75,3,"Cyber Security,Incident Management,Risk Management",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sr . Professional Cyber Security Consultant,Ingram Micro (I) Pvt Ltd,5,10,NA,NA,"IT Skills,Testing,Project Management,Program Management,BPO,project management,Supply chain,remediation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22,Lead Cyber and Information Security Architect,CynergisTek,10,15,NA,NA,"IT Skills,Testing,Cism,Linux,Information security,ISO 27001,HIPAA,Healthcare",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
23,"Manager, Cyber Security Engineering",Infoblox,4,6,NA,NA,"IT Skills,Java,Python,Testing,Cloud,DevOps,Javascript,Computer science",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
24,Cybersecurity - IT Policy/governance Regional Manager,SAC Management India,10,15,NA,NA,"Patch management,ISMS,ISO,Staffing,Information security,Process improvement,SMS,Information technology",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Security Operations Center Analyst - Network/Cyber Security,Talpro,4,7,NA,NA,"Security Monitoring Tools,Network Infrastructure,Cyber Security,Network Security,SIEM,System Administration,Network Administration,Incident Management",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,IT Security Analyst - Navi Mumbai Location,Holcim Services (South Aisa) Limited,7,10,NA,NA,"IT Skills,Cloud,Mobile Security,Security Analysis,Cloud Security,Cyber Security,Documentation,Information Security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Senior Cyber Security Engineer,Infoblox,7,8,NA,NA,"IT Skills,Java,Python,Testing,Cloud,Javascript,Computer science,cyber security",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Dlp Lead - Information Security/ Cyber Security,Talpro,7,12,NA,NA,"Cyber Security,Linux,Information Security,Security Architect,Dlp,Data Security,Security,Information Technology",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Senior Consultant – Technology Consulting – Cyber Security,Protiviti India Member Private limited,3,6,NA,NA,"Cyber Security,Network Security,Information Security,Technology Consulting,IT Security",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
30,DLP Lead - Information Security/cyber Security,Talpro,7,12,NA,NA,"Cyber Security,operating system,Security Architect,Information Security,DLP,Data Security,Security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Information Security Officer,CreditAccess Grameen Limited,2,5,3.5,5,"Security Analysis,Communication Skills,Cyber Security,Networking,Risk Assessment,Computer Science,Information Security,Security Management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cyber Security Analyst,Unisys India Pvt. Ltd.,2,5,NA,NA,"cyber security analyst,Networking,cyber security,Audit compliance,Access management,Security systems,Manager Technology,Infrastructure",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
